上櫃公布注意有價證券資訊 
期間:115/01/01~115/04/09，查詢範圍:全部上櫃有價證券
編號,證券代號,證券名稱,注意交易資訊,公告日期,收盤價,本益比
"92","4741","泓瀚","最近六個營業日(含當日)累積之最後成交價漲幅達40.83%(第一款)當日之成交量較最近六十個營業日日平均成交量放大10.44倍(第三款)當日週轉率達14.26%(第四款)","115/03/31","37.40","128.97"
"93","4971","IET-KY","最近六個營業日(含當日)累積之最後成交價漲幅達28.82%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣136.5元(第一款)當日週轉率達19.56%(第四款)當日本益比為346.67、股價淨值比為11.34且為其所屬產業類別股價淨值比之3.03倍(第六款)最近六個營業日(自當日之前一個營業日起)之當日沖銷成交量占總成交量比率達63.03%，當日之前一個營業日當日沖銷成交量占總成交量達73.74%（第十三款)","115/03/31","572.00","346.67"
"94","5016","松和","最近六個營業日(含當日)之日平均成交量較最近六十個營業日日平均成交量放大為8.82倍，當日成交量較最近六十個營業日之日平均成交量放大為22.32倍(第九款)","115/03/31","28.55","19.03"
"95","5289","宜鼎","最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣131元(第十一款)","115/03/31","847.00","39.00"
"96","5386","青雲","最近六個營業日(含當日)累積之最後成交價跌幅達29.13%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣61.5元(第一款)","115/03/31","262.50","30.49"
"97","6588","東典光電","最近六個營業日(自當日之前一個營業日起)之當日沖銷成交量占總成交量比率達61.4%，當日之前一個營業日當日沖銷成交量占總成交量達68.35%（第十三款)","115/03/31","120.50","N/A"
"98","6683","雍智科技","當日本益比為88.85、股價淨值比為13.86且為其所屬產業類別股價淨值比之3.7倍、當日週轉率達16.27%(第六款)","115/03/31","1370.00","88.85"
"99","6821","聯寶","最近六個營業日(含當日)累積之最後成交價漲幅達38.76%(第一款)","115/03/31","54.90","48.58"
"100","6907","雅特力-KY","最近六個營業日(含當日)累積之最後成交價跌幅達31.75%(第一款)","115/03/31","106.50","51.20"
"101","700571","宜鼎元大59購03","最近六個營業日(含當日)累積之最後成交價跌幅達47.09%(第一款)","115/03/31","3.98","N/A"
"102","7709","榮田","最近六個營業日(含當日)累積之最後成交價漲幅達34.55%(第一款)當日之成交量較最近六十個營業日日平均成交量放大11.17倍(第三款)當日週轉率達10.37%(第四款)","115/03/31","77.40","31.21"
